date,building_id,building_name,country,battery_id,battery_tech,battery_type,eu_compliant,strategy,capacity_kwh,pv_capacity_kwp,pv_generation_kwh,pv_to_load_kwh,pv_charge_kwh,grid_charge_kwh,charge_kwh,discharge_kwh,soc_start_percent,soc_end_percent,soc_target_percent,round_trip_efficiency_percent,cycle_depth_percent,cumulative_cycles,cost_avoided_eur,grid_charge_cost_eur,demand_reduction_eur,net_savings_eur,co2_avoided_kg,battery_health_percent,grid_price_peak_eur_kwh,grid_price_offpeak_eur_kwh,is_simulated
2023-01-01,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,41.32,41.32,0.0,0.0,0.0,20.79,20.0,10.0,20.0,94.5,10.4,0.104,5.642,0.0,0.0,5.642,7.902,100.0,0.2713,0.0694,False
2023-01-02,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,40.04,40.04,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
2023-01-03,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,57.37,57.37,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
2023-01-04,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,53.4,53.4,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
2023-01-05,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,38.7,38.7,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
2023-01-06,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,45.98,45.98,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
2023-01-07,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,57.27,57.27,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.2713,0.0694,False
2023-01-08,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,63.84,63.84,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.2713,0.0694,False
2023-01-09,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,41.5,41.5,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
2023-01-10,B001,Berliner Bürogebäude Alpha,DE,B001_BATT_01,CATL_LFP_200,LFP,True,self_consumption,200.0,120.0,66.48,66.48,0.0,0.0,0.0,0.0,10.0,10.0,20.0,94.5,0.0,0.104,0.0,0.0,0.0,0.0,0.0,100.0,0.3192,0.0694,False
