malo_id,segment,tariff_type,battery_kwh,kwh_load,kwh_grid_with_battery,bill_A_fixed,bill_B_dynamic,bill_C_dyn_battery,save_B_vs_A,save_C_vs_B,save_C_vs_A,ratio_B,ratio_C,cycles_used,kwh_shifted,boundary_tolerance_eur
02060690718,PV_battery_HP_EV,DYNAMIC,12.5,8454.333,8619.829324399068,3779.306591828999,3359.8919570165795,3336.336401290616,419.41463481241954,23.555555725963586,442.9701905383831,1.0602801082408317,0.9622565813167963,107.49427071993078,1209.3105455992213,4.192875
02378447181,PV_battery_HP,DYNAMIC,7.5,6920.337199999999,7021.327942251602,3098.9595125836,2758.7688610112596,2744.437714590644,340.19065157234036,14.331146420615369,354.5217979929557,1.0621505902745985,0.9887537219266204,109.7183372609988,740.5987765117419,2.5157249999999998
04014447556,no_hardware,FIXED,0.0,895.7478000000001,895.7478000000001,426.97579402139996,392.36501400595,392.36501400595,34.61078001544996,0.0,34.61078001544996,1.0769508841514384,1.0769508841514384,0.0,0.0,0.0
07412179067,PV_battery_HP,DYNAMIC,12.5,6279.7014,6441.836985024181,2814.8292070181997,2507.2784983834895,2485.197546654191,307.5507086347102,22.080951729298704,329.6316603640089,1.0623950384043943,0.9353449195918961,102.47645542325947,1152.860123511669,4.192875
13733263538,PV_battery_HP,DYNAMIC,10.0,6558.201999999999,6689.789087733037,2938.3478436259993,2616.5676199903996,2597.9692874994757,321.78022363559967,18.598332490923895,340.37855612652356,1.0620513486274314,0.9618077107830344,106.64503444979306,959.8053100481376,3.3542999999999994
15096034392,PV_battery_HP,DYNAMIC,7.5,6815.8087,6917.686017115834,3052.5997639630996,2717.563299864579,2703.2652085935842,335.03646409852036,14.298091270994973,349.33455536951533,1.0620929674283466,0.9871558986304679,110.68152970609134,747.1003255161165,2.5157249999999998
17417694597,PV_battery_HP_EV,DYNAMIC,15.0,7801.0527,7996.623675517935,3489.5682861350992,3103.30588174903,3076.926035508025,386.2624043860692,26.379846241004998,412.6422506270742,1.0608049889963964,0.9376202372288104,102.83232003502128,1388.2363204727874,5.0314499999999995
19554292257,PV_battery_HP,DYNAMIC,10.0,5240.7616,5371.753649549687,2354.0458995007994,2098.78827529184,2080.554167678869,255.25762420895944,18.234107612971002,273.49173182193044,1.0623764584555544,0.9385639159903308,103.94268852264716,935.4841967038244,3.3542999999999994
19754516392,PV_battery_HP_EV,FIXED,7.5,7554.3539,7656.416865583209,3380.1541612506994,3005.8482628043994,2991.7925268670037,374.30589844630003,14.055735937395639,388.3616343836957,1.0599080187008432,0.9924267834978915,110.88322186817831,748.4617476102036,2.5157249999999998
45855425961,PV_battery_HP,DYNAMIC,5.0,4881.284299999999,4949.067404883351,2194.6130437458996,1957.1369655152198,1947.4772750242917,237.47607823067983,9.659690490928142,247.13576872160797,1.061746520591401,0.9917788177150512,110.46135610620092,497.07610247790416,1.6771499999999997
48126289103,PV_only,DYNAMIC,0.0,763.8745250000001,763.8745250000001,368.4882822063249,340.4706984733974,340.4706984733974,28.017583732927505,0.0,28.017583732927505,1.0775940296711268,1.0775940296711268,0.0,0.0,0.0
49114475696,PV_battery_HP_EV,DYNAMIC,5.0,8387.2161,8456.223649314179,3749.5393741592998,3333.3528782341396,3323.7779672709285,416.1864959251602,9.574910963211096,425.7614068883713,1.0605513673857192,1.019149461180382,112.45674703051431,506.0553616373144,1.6771499999999997
